ticker_code,company_name,last_update,status
097520,엠씨넥스,2026-02-09,EXISTING
045100,한양이엔지,2026-02-09,EXISTING
170900,동아에스티,2026-02-09,EXISTING
425420,티에프이,2026-02-09,EXISTING
105630,한세실업,2026-02-09,EXISTING
122640,예스티,2026-02-09,EXISTING
016590,신대양제지,2026-02-09,EXISTING
453340,현대그린푸드,2026-02-09,EXISTING
041920,메디아나,2026-02-09,EXISTING
271940,일진하이솔루스,2026-02-09,EXISTING
161000,애경케미칼,2026-02-09,EXISTING
145990,삼양사,2026-02-09,EXISTING
058970,엠로,2026-02-09,EXISTING
011930,신성이엔지,2026-02-09,EXISTING
206650,유바이오로직스,2026-02-09,EXISTING
049630,재영솔루텍,2026-02-09,EXISTING
077360,덕산하이메탈,2026-02-09,EXISTING
034310,NICE,2026-02-09,EXISTING
199800,툴젠,2026-02-09,EXISTING
017810,풀무원,2026-02-09,EXISTING
067630,HLB생명과학,2026-02-09,EXISTING
352480,씨앤씨인터내셔널,2026-02-09,EXISTING
003300,한일홀딩스,2026-02-09,EXISTING
230360,에코마케팅,2026-02-09,EXISTING
089590,제주항공,2026-02-09,EXISTING
053030,바이넥스,2026-02-09,EXISTING
494120,큐리오시스,,
009900,명신산업,2026-02-09,EXISTING
016800,퍼시스,2026-02-09,EXISTING
0015G0,그린광학,,
091810,티웨이항공,2026-02-09,EXISTING
000070,삼양홀딩스,2026-02-09,EXISTING
031330,에스에이엠티,2026-02-09,EXISTING
183190,아세아시멘트,2026-02-09,EXISTING
009410,태영건설,2026-02-09,EXISTING
004700,조광피혁,2026-02-09,EXISTING
194480,데브시스터즈,2026-02-09,EXISTING
026890,스틱인베스트먼트,2026-02-09,EXISTING
215200,메가스터디교육,2026-02-09,EXISTING
484590,삼양컴텍,2026-02-09,EXISTING
024850,HLB이노베이션,2026-02-09,EXISTING
041830,인바디,2026-02-09,EXISTING
107640,한중엔시에스,2026-02-09,EXISTING
037270,YG PLUS,2026-02-09,EXISTING
084010,대한제강,2026-02-09,EXISTING
448730,삼성FN리츠,2026-02-09,EXISTING
475400,씨메스,2026-02-09,EXISTING
179900,유티아이,2026-02-09,EXISTING
200670,휴메딕스,2026-02-09,EXISTING
348950,제이알글로벌리츠,2026-02-09,EXISTING
